implementation;workload;n;time_total;time_per_op
BstAvlSet;lookup_miss;200000;0.068181152;0.00000034090575999999997
BstAvlSet;insert_sorted;200000;0.02557384;0.0000001278692
BstRBSet;insert_distinct;200000;0.05966126;0.0000002983063
BstRBSet;lookup_hit;200000;0.066377532;0.00000033188766
BstRBSet;lookup_miss;200000;0.056550574;0.00000028275287
BstRBSet;insert_sorted;200000;0.022982426;0.00000011491213
HashChainingSet;insert_distinct;200000;0.042551529;0.000000212757645
HashChainingSet;lookup_hit;200000;0.037000415;0.000000185002075
HashChainingSet;lookup_miss;200000;0.041498878;0.00000020749439
HashChainingSet;insert_sorted;200000;0.0484767;0.00000024238349999999997
HashProbingSet;insert_distinct;200000;0.04462818;0.0000002231409
HashProbingSet;lookup_hit;200000;0.045145449;0.00000022572724499999998
HashProbingSet;lookup_miss;200000;0.04465009;0.00000022325045
HashProbingSet;insert_sorted;200000;0.041245834;0.00000020622917000000002
