implementation;workload;n;time_total;time_per_op
rust_std_sort;sort_almost_sorted;114502;0.001172075;0.000000010236284082374107
bubble;sort_random;151329;13.533921612;0.00008943376095791289
bubble;sort_sorted;151329;0.000076581;0.0000000005060563408203319
bubble;sort_reversed;151329;4.7698867400000005;0.00003151997792888343
bubble;sort_almost_sorted;151329;5.088198829;0.00003362342200767864
insertion;sort_random;151329;2.033650036;0.00001343860090266902
insertion;sort_sorted;151329;0.000060021;0.0000000003966258945740737
insertion;sort_reversed;151329;3.158197716;0.000020869745494915053
insertion;sort_almost_sorted;151329;0.242337263;0.0000016013934077407504
selection;sort_random;151329;4.598753145;0.000030389106813631226
selection;sort_sorted;151329;4.579191546;0.000030259841444799078
selection;sort_reversed;151329;4.586982956;0.00003031132800718963
selection;sort_almost_sorted;151329;4.578399774;0.000030254609321412288
merge_sort_td;sort_random;151329;0.008719358;0.00000005761855295415948
merge_sort_td;sort_sorted;151329;0.001872579;0.000000012374224372063518
merge_sort_td;sort_reversed;151329;0.001881736;0.000000012434734915316958
merge_sort_td;sort_almost_sorted;151329;0.003126015;0.00000002065707828638265
quick_lomuto;sort_random;151329;0.008713988;0.00000005758306735655427
quick_lomuto;sort_sorted;151329;5.575369701;0.00003684270497393097
quick_lomuto;sort_reversed;151329;5.045457384;0.00003334098146422695
quick_lomuto;sort_almost_sorted;151329;0.006177723;0.000000040823127093947625
heap_sort;sort_random;151329;0.009355704;0.00000006182360287849651
heap_sort;sort_sorted;151329;0.0046986;0.00000003104890668675535
heap_sort;sort_reversed;151329;0.004981413;0.000000032917768570465675
heap_sort;sort_almost_sorted;151329;0.007271463;0.00000004805069087881371
counting_sort;sort_random;151329;0.001676337;0.00000001107743393533295
counting_sort;sort_sorted;151329;0.000766516;0.000000005065228740030001
counting_sort;sort_reversed;151329;0.001004275;0.0000000066363684422681706
counting_sort;sort_almost_sorted;151329;0.00119124;0.000000007871855361497136
radix_sort_lsd;sort_random;151329;0.001802931;0.000000011913982118430703
radix_sort_lsd;sort_sorted;151329;0.000812571;0.00000000536956564835557
radix_sort_lsd;sort_reversed;151329;0.000798004;0.000000005273305182747524
radix_sort_lsd;sort_almost_sorted;151329;0.000960074;0.000000006344282986076694
rust_std_sort;sort_random;151329;0.002726256;0.000000018015423349126737
rust_std_sort;sort_sorted;151329;0.00007044;0.0000000004654758836706778
rust_std_sort;sort_reversed;151329;0.000067455;0.00000000044575064924766567
rust_std_sort;sort_almost_sorted;151329;0.001729615;0.000000011429501285279094
bubble;sort_random;200000;26.753089006;0.00013376544503
bubble;sort_sorted;200000;0.000104022;0.00000000052011
bubble;sort_reversed;200000;8.295070562;0.00004147535281
bubble;sort_almost_sorted;200000;8.751751749;0.000043758758745
insertion;sort_random;200000;3.5023028910000003;0.000017511514455000002
insertion;sort_sorted;200000;0.000073856;0.00000000036928000000000004
insertion;sort_reversed;200000;5.515519878;0.00002757759939
insertion;sort_almost_sorted;200000;0.41535282;0.0000020767641
selection;sort_random;200000;8.044328226;0.000040221641129999994
selection;sort_sorted;200000;7.967568635;0.000039837843175
selection;sort_reversed;200000;7.997174769;0.000039985873845
selection;sort_almost_sorted;200000;7.969544262;0.000039847721310000003
merge_sort_td;sort_random;200000;0.011725256;0.00000005862628
merge_sort_td;sort_sorted;200000;0.002458132;0.00000001229066
